183293,18.44,65.19,18.44,84.24,0,406,13871,18533
244439,18.56,65.41,18.52,85.77,9,428,13903,18641
305484,18.62,65.52,18.54,87.14,0,437,13871,18658
366562,18.69,65.64,18.59,87.93,6,444,13861,18695
427664,18.75,65.75,18.65,88.56,2,406,13874,18731
488747,18.81,65.86,18.68,88.92,0,400,13879,18767
549859,18.87,65.97,18.71,89.25,1,400,13879,18787
610924,18.94,66.09,18.68,89.26,0,400,13922,18826
672089,18.94,66.09,18.66,88.86,8,400,13909,18828
733177,18.94,66.09,18.70,89.26,5,400,13907,18859
794283,18.94,66.09,18.55,87.04,0,400,14011,18948
855405,18.94,66.09,18.59,86.69,46,400,13925,18876
916531,18.94,66.09,18.71,88.44,35,400,13909,18889
977721,19.00,66.20,18.75,89.28,35,400,13914,18893
1038850,19.06,66.31,18.78,89.55,15,400,13906,18906
1100078,19.06,66.31,18.84,89.96,18,400,13907,18914
1161202,19.06,66.31,18.80,89.98,9,400,13893,18900
1222353,19.12,66.43,18.79,90.05,9,402,13889,18905
1283464,19.12,66.43,18.80,90.31,8,406,13880,18910
1344533,19.12,66.43,18.78,90.35,6,410,13869,18903
1405664,19.12,66.43,18.79,90.49,5,400,13872,18896
1466717,19.12,66.43,18.77,90.57,12,400,13860,18906
1527869,19.12,66.43,18.74,90.60,5,400,13859,18920
1588911,19.12,66.43,18.72,90.70,1,400,13853,18912
1650035,19.12,66.43,18.75,90.92,7,409,13850,18929
1711087,19.12,66.43,18.75,91.13,14,415,13842,18914
1772209,19.12,66.43,18.74,91.31,1,400,13843,18935
1833262,19.06,66.31,18.73,91.45,2,400,13838,18941
1894339,19.06,66.31,18.71,91.54,8,400,13842,18940
1955466,19.06,66.31,18.68,91.65,15,400,13833,18946
2016520,19.06,66.31,18.67,91.77,4,400,13832,18947
2077629,19.06,66.31,18.66,91.89,2,400,13817,18920
2138675,19.06,66.31,18.65,91.94,7,404,13825,18952
2199813,19.06,66.31,18.64,92.06,11,401,13826,18939
2260870,19.00,66.20,18.63,92.16,6,400,13813,18950
2321932,19.00,66.20,18.61,92.22,8,408,13811,18951
2383052,19.00,66.20,18.61,92.30,8,410,13803,18942
2444127,19.00,66.20,18.61,92.38,1,400,13799,18954
2505229,19.00,66.20,18.58,92.36,0,400,13802,18955
2566295,18.94,66.09,18.59,92.42,6,400,13792,18950
2627398,18.94,66.09,18.57,92.49,4,403,13787,18962
2688459,18.94,66.09,18.55,92.51,5,400,13787,18966
2749581,18.94,66.09,18.55,92.51,0,400,13787,18972
2810655,18.94,66.09,18.53,92.59,7,400,13776,18965
2871704,18.94,66.09,18.53,92.64,9,406,13777,18965
2932808,18.94,66.09,18.52,92.70,2,402,13778,18965
2993880,18.94,66.09,18.52,92.72,13,400,13770,18972
3055003,18.87,65.97,18.52,92.72,5,400,13766,18966
3116089,18.94,66.09,18.51,92.82,5,400,13771,18973
3177214,18.87,65.97,18.47,92.87,10,400,13759,18962
3238304,18.87,65.97,18.49,92.95,12,403,13762,18976
3299354,18.87,65.97,18.49,92.99,8,400,13749,18969
3360487,18.87,65.97,18.47,93.09,4,400,13751,18969
3421544,18.87,65.97,18.48,93.13,2,400,13745,18963
3482675,18.87,65.97,18.47,93.20,5,400,13753,18970
3543714,18.87,65.97,18.48,93.27,3,400,13740,18967
3604791,18.87,65.97,18.47,93.31,8,400,13737,18972
3665905,18.81,65.86,18.46,93.38,2,400,13742,18971
3726986,18.87,65.97,18.46,93.40,4,400,13741,18974
3788075,18.81,65.86,18.45,93.42,6,404,13734,18972
3849126,18.81,65.86,18.43,93.42,7,400,13735,18976
3910245,18.87,65.97,18.42,93.44,2,400,13730,18972
3971299,18.81,65.86,18.41,93.46,4,400,13725,18973
4032370,18.81,65.86,18.41,93.52,9,403,13721,18967
4093511,18.81,65.86,18.43,93.52,5,400,13727,18981
4154587,18.81,65.86,18.40,93.56,11,412,13724,18967
4215678,18.81,65.86,18.38,93.56,9,402,13720,18978
4276765,18.81,65.86,18.39,93.62,6,400,13712,18976
4337835,18.81,65.86,18.39,93.66,3,400,13714,18973
4398964,18.81,65.86,18.40,93.70,0,400,13713,18986
4460023,18.81,65.86,18.39,93.76,3,400,13712,18980
4521174,18.75,65.75,18.37,93.79,8,400,13707,18976
4582238,18.75,65.75,18.39,93.86,10,400,13712,18981
4643352,18.75,65.75,18.36,93.87,6,400,13706,18986
4704410,18.81,65.86,18.38,93.92,4,400,13712,18986
4765517,18.81,65.86,18.40,93.96,5,406,13710,18986
4826593,18.75,65.75,18.39,94.00,5,401,13706,18982
4887654,18.75,65.75,18.37,94.06,7,402,13688,18958
4948809,18.75,65.75,18.36,94.09,7,400,13692,18986
5009861,18.75,65.75,18.35,94.09,3,400,13694,18985
5070987,18.75,65.75,18.36,94.06,3,400,13701,18985
5132039,18.75,65.75,18.35,94.15,7,400,13691,18972
5193176,18.75,65.75,18.33,94.14,5,401,13698,18979
5254222,18.75,65.75,18.35,94.14,0,400,13703,18987
5315381,18.75,65.75,18.33,94.17,8,400,13694,18978
5376436,18.75,65.75,18.33,94.23,9,405,13681,18978
5437554,18.75,65.75,18.36,94.28,7,400,13676,18966
5498611,18.75,65.75,18.34,94.24,10,400,13690,18980
5559695,18.75,65.75,18.32,94.29,9,400,13684,18980
5620813,18.75,65.75,18.34,94.35,3,400,13681,18971
5681872,18.75,65.75,18.34,94.38,9,405,13685,18980
5743022,18.75,65.75,18.32,94.39,6,407,13686,18981
5804079,18.69,65.64,18.33,94.46,5,408,13692,18987
